Game Name,Discount
Cyberpunk 2077,50%
Euro Truck Simulator 2,75%
Crusader Kings III,70%
ELDEN RING,30%
Total War: WARHAMMER III,60%
Satisfactory,10%
The Crew™ 2,98%
Cyberpunk 2077: Phantom Liberty,20%
Grand Theft Auto V,66%
Steam Deck,15%
Sea of Thieves: 2024 Edition,50%
Tom Clancy's Rainbow Six® Siege,60%
Noita,60%
Persona 5 Royal,60%
Party Animals,50%
Like a Dragon: Infinite Wealth,40%
Call of Duty®: Black Ops III,67%
FINAL FANTASY VII REMAKE INTERGRADE,50%
Grounded,50%
American Truck Simulator,75%
Microsoft Flight Simulator 40th Anniversary Edition,50%
Dragon's Dogma 2,43%
Shin Megami Tensei V: Vengeance,30%
Halo: The Master Chief Collection,75%
Persona 3 Reload,40%
BeamNG.drive,20%
Mediterranean Bundle,71%
PAYDAY 3,60%
Grand Theft Auto V: Premium Edition & Great White Shark Card Bundle,66%
Balkans Bundle,61%
Deep Rock Galactic,67%
The Crew Motorfest,84%
STAR WARS Jedi: Survivor™,60%
Total War: WARHAMMER III – Thrones of Decay,32%
Total War: WARHAMMER II,75%
Team Fortress 2,No discount
Anno 1800,75%
Total War: WARHAMMER,75%
Total War: WARHAMMER TRILOGY,72%
Total War: THREE KINGDOMS COLLECTION,71%
Battlefield™ 2042,85%
Senua’s Saga: Hellblade II,30%
UFO 50,10%
Resident Evil 4,25%
Cyberpunk 2077: Ultimate Edition,45%
DEATH STRANDING DIRECTOR'S CUT,50%
STAR WARS™ Battlefront™ II,88%
The Witcher 3: Wild Hunt,75%
Total War: THREE KINGDOMS,66%
Baltic Bundle,72%
